address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
77 Shuter St 515 Toronto,1,2,Condo Apt Loft,2680,500-599,C10427432,500,599,549.5,Condo Apartment,Loft
20 Shore Breeze Dr 2306 Toronto,1+1,1,Condo Apt Apartment,2680,500-599,W9419946,500,599,549.5,Condo Apartment,Apartment
210 Simcoe St 1014 Toronto,1,1,Condo Apt Apartment,2680,700-799,C10418492,700,799,749.5,Condo Apartment,Apartment
101 Charles St E 1605 Toronto,1,1,Condo Apt Apartment,2680,600-699,C9768663,600,699,649.5,Condo Apartment,Apartment
38 Iannuzzi St N 634 Toronto,1+1,1,Condo Apt Apartment,2680,500-599,C9380082,500,599,549.5,Condo Apartment,Apartment
5 Soudan Ave 1144 Toronto,1+1,1,Comm Element Condo Apartment,2675,600-699,C10440526,600,699,649.5,Common Element Condo,Apartment
28 Harrison Garden Blvd 607 Toronto,1+1,1,Condo Apt Apartment,2675,600-699,C9385041,600,699,649.5,Condo Apartment,Apartment
25 Nicholas Ave 323 Toronto,1+1,1,Condo Apt Apartment,2675,500-599,C9343322,500,599,549.5,Condo Apartment,Apartment
39 Queens Quay E 532 Toronto,1,1,Condo Apt Apartment,2675,600-699,C10405151,600,699,649.5,Condo Apartment,Apartment
4955 Yonge St 1503 Toronto,1+1,2,Condo Apt Apartment,2670,600-699,C10427106,600,699,649.5,Condo Apartment,Apartment
55 Charles St E 2510 Toronto,1+1,1,Condo Apt Apartment,2650,500-599,C9581242,500,599,549.5,Condo Apartment,Apartment
51 Lower Simcoe St 620 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10463704,600,699,649.5,Condo Apartment,Apartment
38 Dan Leckie Way 1709 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10424737,600,699,649.5,Condo Apartment,Apartment
38 Iannuzzi St 111 Toronto,1+1,1,Comm Element Condo Other,2650,500-599,C9040034,500,599,549.5,Common Element Condo,Other
15 Lower Jarvis St 608 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10426602,600,699,649.5,Condo Apartment,Apartment
1121 Bay St 1504 Toronto,1+1,1,Condo Apt Apartment,2650,500-599,C9418100,500,599,549.5,Condo Apartment,Apartment
55 Regent Park Blvd 402 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10429768,600,699,649.5,Condo Apartment,Apartment
2 Rean Dr 903 Toronto,1+1,2,Condo Apt Apartment,2650,700-799,C9394908,700,799,749.5,Condo Apartment,Apartment
85 Queens Wharf Rd 3305 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10403050,600,699,649.5,Condo Apartment,Apartment
155 Yorkville Ave 807 Toronto,1+1,1,Condo Apt Apartment,2650,500-599,C10406095,500,599,549.5,Condo Apartment,Apartment
761 Bay St 2210 Toronto,1+1,2,Condo Apt Apartment,2650,700-799,C10424800,700,799,749.5,Condo Apartment,Apartment
60 George Butchart Dr 215 Toronto,1+1,2,Condo Apt Apartment,2650,600-699,W10418166,600,699,649.5,Condo Apartment,Apartment
59 Annie Craig Dr 2401 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,W10419790,600,699,649.5,Condo Apartment,Apartment
525 Adelaide St W 927 Toronto,1+1,1,Condo Apt Apartment,2650,500-599,C9457841,500,599,549.5,Condo Apartment,Apartment
38 Dan Leckie Way 316 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C9417903,600,699,649.5,Condo Apartment,Apartment
365 CHURCH St 1706 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C9505749,600,699,649.5,Condo Apartment,Apartment
30 Samuel Wood Way 407 Toronto,1+1,2,Condo Apt Apartment,2650,700-799,W10408438,700,799,749.5,Condo Apartment,Apartment
2A Church St 1702 Toronto,1,1,Condo Apt Apartment,2650,500-599,C10431724,500,599,549.5,Condo Apartment,Apartment
