address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,LAT,LONG
30 Shore Breeze Dr 3412 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W9386554,600,699,649.5,Condo Apartment,Apartment,43.62377619999999,-79.47963299999999
1928 Lakeshore Blvd 3801 Toronto,1+1,2,Condo Apt Apartment,2600,700-799,W10707770,700,799,749.5,Condo Apartment,Apartment,43.6355926,-79.4680985
188 Cumberland St 903 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10477056,500,599,549.5,Condo Apartment,Apartment,43.6697824,-79.3942951
208 Queens Quay W 314 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9306369,600,699,649.5,Condo Apartment,Apartment,43.6401517,-79.38068369999999
295 Adelaide St W 2006 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9386584,600,699,649.5,Condo Apartment,Apartment,43.64767519999999,-79.390532
50 Ordnance Dr 1703 Toronto,1,1,Condo Apt Apartment,2600,0-499,C9778878,0,499,249.5,Condo Apartment,Apartment,43.6397778,-79.40995889999999
400 Wellington St W 302 Toronto,1,1,Condo Apt Apartment,2600,600-699,C9416902,600,699,649.5,Condo Apartment,Apartment,43.6441216,-79.3959462
25 Grenville St 1804 Toronto,1+1,1,Condo Apt Apartment,2600,800-899,C9357160,800,899,849.5,Condo Apartment,Apartment,43.6617585,-79.3846976
15 Lower Jarvis St 3306 Toronto,1+1,2,Condo Apt Apartment,2600,500-599,C10425298,500,599,549.5,Condo Apartment,Apartment,43.6452369,-79.36924429999999
155 Beecroft Rd 2609 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9378918,500,599,549.5,Condo Apartment,Apartment,43.7655092,-79.4140924
10 Park Lawn Rd 710 Toronto,1,1,Condo Apt Apartment,2600,600-699,W9388231,600,699,649.5,Condo Apartment,Apartment,43.6233108,-79.48375089999999
5168 Yonge St 1510 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10301823,500,599,549.5,Condo Apartment,Apartment,43.76966849999999,-79.413859
150 East Liberty St 1713 Toronto,1,1,Condo Apt Apartment,2600,600-699,C9396953,600,699,649.5,Condo Apartment,Apartment,43.6387616,-79.4162413
161 Roehampton Ave 304 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10417418,500,599,549.5,Condo Apartment,Apartment,43.70877249999999,-79.3937821
330 Richmond St W 1106 Toronto,1+1,1,Condo Apt Apartment,2600,700-799,C10428673,700,799,749.5,Condo Apartment,Apartment,43.6489309,-79.3927925
575 Bloor St E 3310 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C9377898,600,699,649.5,Condo Apartment,Apartment,43.6719003,-79.3725853
5508 Yonge St 2001 Toronto,1+1,1,Condo Apt Apartment,2600,700-799,C10410576,700,799,749.5,Condo Apartment,Apartment,43.7782773,-79.4155984
7 Grenville St 3310 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9378115,500,599,549.5,Condo Apartment,Apartment,43.6619464,-79.3838174
