Listing ID,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
C10428584,2895 Bathurst St 309 Toronto,1+0,1.0,749.5,43.71477669999999,-79.4283451,Bedford Park-Nortown,46.0,1999.0
C10424653,3 Swift Dr 409 Toronto,1+0,1.0,749.5,43.7266588,-79.3178203,Victoria Village,129.0,2000.0
C10273551,219 Dundas St E 2215 Toronto,1+0,1.0,549.5,43.657581,-79.37289,Moss Park,69.0,2000.0
C10427807,251 Jarvis St 318 Toronto,1+0,1.0,249.5,43.65737670000001,-79.3744501,Moss Park,69.0,2000.0
W9393500,1401 Dupont St 123 Toronto,1+0,1.0,549.5,43.666383,-79.44674289999999,Junction-Wallace Emerson,50.0,2000.0
C10428088,887 bay St 1612 Toronto,1+1,1.0,1099.5,43.6629706,-79.3861599,Bay-Cloverhill,8.0,2000.0
C9416149,195 McCaul St 419 Toronto,1+0,1.0,249.5,43.6567194,-79.39214460000001,Kensington-Chinatown,48.0,2000.0
C9923406,399 Dupont St 202 Toronto,1+0,1.0,249.5,43.673342,-79.41219389999999,Annex,12.0,2000.0
C10421088,117 Broadway Ave 312 Toronto,1+0,1.0,549.5,43.71035699999999,-79.3925946,North Toronto,55.0,2000.0
C10432517,230 Simcoe St 2213 Toronto,1+0,1.0,249.5,43.65328239999999,-79.3889093,Kensington-Chinatown,48.0,2000.0
C9392190,65 St Mary St 2502 Toronto,1+0,1.0,849.5,43.6672065,-79.389162,Bay-Cloverhill,8.0,2000.0
E10400941,20 Meadowglen Pl 634 Toronto,1+0,1.0,549.5,43.77462939999999,-79.23061059999999,Golfdale-Cedarbrae-Woburn,147.0,2000.0
C10422638,127 Broadway Ave 1006 Toronto,1+0,1.0,549.5,43.7103794,-79.3921761,North Toronto,55.0,2000.0
C10403078,896 Eglinton Ave E 110 Toronto,1+0,1.0,649.5,43.7142556,-79.36301879999999,Leaside-Bennington,19.0,2000.0
W10407681,1195 The Queensway 209 Toronto,1+0,1.0,549.5,43.62163,-79.52248,Etobicoke City Centre,64.0,2000.0
W10412593,1195 The Queensway 208 Toronto,1+0,1.0,549.5,43.62163,-79.52248,Etobicoke City Centre,64.0,2000.0
C10845423,230 Simcoe St 2220 Toronto,1+0,1.0,249.5,43.65328239999999,-79.3889093,Kensington-Chinatown,48.0,2000.0
W9393114,1401 Dupont St 232 Toronto,1+0,1.0,549.5,43.666383,-79.44674289999999,Junction-Wallace Emerson,50.0,2000.0
W10440524,1407 Dupont St 202 Toronto,1+0,1.0,549.5,43.6662245,-79.447608,Junction-Wallace Emerson,50.0,2000.0
E10441771,165 Cosburn Ave 602 Toronto,1+0,1.0,849.5,43.6897625,-79.345519,Danforth East York,31.0,2000.0
W9385544,719 Lawrence Ave W 49 Toronto,1+0,1.0,649.5,43.7149333,-79.4486084,Yorkdale-Glen Park,140.0,2000.0
